Place,Magnitude,Cases,Date,Location
"15km W of Petrolia, CA",5.21,1058,2020-03-19,https://maps.google.com/maps/search/?api=1&query=40.3475%2C-124.4561667
"5km NE of Magna, Utah",4.58,873,2020-03-19,https://maps.google.com/maps/search/?api=1&query=40.751%2C-112.059
"246km S of Kangin, Indonesia",6.2,626,2020-03-18,https://maps.google.com/maps/search/?api=1&query=-11.0591%2C115.131
"7km NNE of Magna, Utah",4.46,936,2020-03-18,https://maps.google.com/maps/search/?api=1&query=40.7651667%2C-112.0725
"3km NNE of Magna, Utah",3.66,577,2020-03-18,https://maps.google.com/maps/search/?api=1&query=40.7526667%2C-112.0938333
"6km NNE of Magna, Utah",5.7,1290,2020-03-18,https://maps.google.com/maps/search/?api=1&query=40.751%2C-112.0783333
"97km NNW of Sola, Vanuatu",6.1,572,2020-03-18,https://maps.google.com/maps/search/?api=1&query=-13.1372%2C167.068
"172km E of Hihifo, Tonga",6,557,2020-03-17,https://maps.google.com/maps/search/?api=1&query=-15.9951%2C-172.1366
"53km NNW of Tome, Chile",5.6,556,2020-03-17,https://maps.google.com/maps/search/?api=1&query=-36.162%2C-73.1593
"298km NE of Raoul Island, New Zealand",6.3,611,2020-03-14,https://maps.google.com/maps/search/?api=1&query=-27.4196%2C-175.6847
"0km SSW of South Glens Falls, New York",3.1,558,2020-03-11,https://maps.google.com/maps/search/?api=1&query=43.2925%2C-73.6371
"17km NNW of Truckee, CA",3.71,619,2020-03-11,https://maps.google.com/maps/search/?api=1&query=39.4751667%2C-120.2455
"73km W of Petrolia, CA",4.94,542,2020-03-09,https://maps.google.com/maps/search/?api=1&query=40.3648333%2C-125.1431667
"69km W of Petrolia, CA",5.77,1072,2020-03-09,https://maps.google.com/maps/search/?api=1&query=40.3916667%2C-125.0936667
"71km SE of Estacion Coahuila, B.C., MX",5.49,944,2020-03-07,https://maps.google.com/maps/search/?api=1&query=31.6893333%2C-114.5405
"23km ESE of Buenos Aires, Costa Rica",5.2,570,2020-03-07,https://maps.google.com/maps/search/?api=1&query=9.0672%2C-83.1509
"48km NNW of Saumlaki, Indonesia",5.9,545,2020-02-26,https://maps.google.com/maps/search/?api=1&query=-7.5625%2C131.1195
"24km SE of Saray, Turkey",6,662,2020-02-23,https://maps.google.com/maps/search/?api=1&query=38.4933%2C44.3729
"26km ESE of Saray, Turkey",5.8,661,2020-02-23,https://maps.google.com/maps/search/?api=1&query=38.5429%2C44.4465
"2km NNW of Castaic, CA",3.52,571,2020-02-21,https://maps.google.com/maps/search/?api=1&query=34.5075%2C-118.6345
